Year,State,Program,Data Item,Yield,CV_Percent
2017,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",85,NA
2017,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",95,NA
2016,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",710,NA
2016,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",205,NA
2016,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",40,NA
2016,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",120,NA
2016,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",97,NA
2016,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",94,NA
2015,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",685,NA
2015,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",225,NA
2015,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",36,NA
2015,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2015,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",111,NA
2015,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",77,NA
2014,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",665,NA
2014,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",190,NA
2014,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",32,NA
2014,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",140,NA
2014,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",91,NA
2014,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",90,NA
2013,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",665,NA
2013,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",220,NA
2013,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",27,NA
2013,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2013,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",98,NA
2013,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",79,NA
2012,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",710,NA
2012,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",210,NA
2012,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",23,NA
2012,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
2012,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",105,NA
2012,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",79,NA
2011,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",680,NA
2011,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",250,NA
2011,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",26,NA
2011,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2011,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
2011,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",83,NA
2010,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",615,NA
2010,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",160,NA
2010,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",650,NA
2010,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",160,NA
2010,OREGON,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",120,NA
2010,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",670,NA
2010,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",220,NA
2010,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",25,NA
2010,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",120,NA
2010,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2010,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",83,NA
2009,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",625,NA
2009,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",270,NA
2009,OREGON,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",125,NA
2009,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",625,NA
2009,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",270,NA
2009,OREGON,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",125,NA
2009,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",625,NA
2009,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",270,NA
2009,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",31,NA
2009,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2009,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2009,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",95,NA
2008,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",605,NA
2008,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",260,NA
2008,OREGON,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",130,NA
2008,CALIFORNIA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",605,NA
2008,FLORIDA,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",260,NA
2008,OREGON,SURVEY,"STRAWBERRIES, FRESH MARKET - YIELD, MEASURED IN CWT / ACRE",130,NA
2008,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",605,NA
2008,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",260,NA
2008,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",32,NA
2008,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2008,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2008,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",90,NA
2007,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",605,NA
2007,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",320,NA
2007,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",33,NA
2007,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2007,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2007,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",84,NA
2006,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",590,NA
2006,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",280,NA
2006,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",29,NA
2006,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
2006,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",110,NA
2006,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",80,NA
2005,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",600,NA
2005,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",245,NA
2005,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",35,NA
2005,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2005,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
2005,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",90,NA
2004,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",590,NA
2004,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",230,NA
2004,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",43,NA
2004,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",110,NA
2004,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
2004,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",85,NA
2003,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",645,NA
2003,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",220,NA
2003,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",33,NA
2003,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2003,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
2003,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",90,NA
2002,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",565,NA
2002,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",255,NA
2002,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",45,NA
2002,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
2002,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
2002,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",90,NA
2001,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",520,NA
2001,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",260,NA
2001,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",38,NA
2001,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
2001,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",130,NA
2001,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2000,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",570,NA
2000,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",350,NA
2000,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",41,NA
2000,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",135,NA
2000,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",100,NA
2000,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",86,NA
1999,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",595,NA
1999,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",300,NA
1999,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",49,NA
1999,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",110,NA
1999,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",99,NA
1999,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",80,NA
1998,CALIFORNIA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",560,NA
1998,FLORIDA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",260,NA
1998,NEW YORK,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",38,NA
1998,NORTH CAROLINA,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",125,NA
1998,OREGON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",115,NA
1998,WASHINGTON,SURVEY,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE",80,NA
